Host,products,n_bgc
Rice,terpene,3390
Rice,NRPS,1986
Wheat,terpene,1935
Rice,RiPP-like,1922
Wheat,NRPS,1604
Maize,terpene,1361
Rice,arylpolyene,1359
Wheat,RiPP-like,1074
Rice,NRPS-like,1058
Maize,NRPS,960
Rice,hserlactone,867
Alfalfa,terpene,845
Wheat,NRPS-like,827
Wheat,T3PKS,814
Rice,redox-cofactor,788
Wheat,siderophore,746
Wheat,T1PKS,735
Maize,RiPP-like,672
Rice,RRE-containing,658
Rice,T3PKS,629
Alfalfa,NRPS,622
Alfalfa,RiPP-like,609
Wheat,betalactone,599
Rice,siderophore,595
Rice,T1PKS,565
Maize,T3PKS,559
Maize,siderophore,548
Rice,betalactone,545
Wheat,arylpolyene,535
Maize,T1PKS,528
Maize,betalactone,523
Maize,NRPS-like,493
Wheat,redox-cofactor,384
Wheat,NAPAA,382
Alfalfa,NRPS-like,358
Maize,NAPAA,341
Wheat,hserlactone,331
Wheat,RRE-containing,327
Maize,redox-cofactor,312
Alfalfa,betalactone,307
Alfalfa,arylpolyene,284
Rice,thioamitides,282
Alfalfa,siderophore,274
Alfalfa,T3PKS,272
Rice,NAPAA,260
Alfalfa,hserlactone,246
Wheat,resorcinol,234
Alfalfa,redox-cofactor,231
Wheat,lassopeptide,225
Maize,arylpolyene,220
Rice,acyl_amino_acids,219
Maize,ectoine,201
Maize,hserlactone,191
Maize,RRE-containing,185
Wheat,ectoine,183
Rice,lassopeptide,178
Wheat,thioamitides,174
Alfalfa,NAPAA,172
Alfalfa,RRE-containing,167
Rice,ranthipeptide,159
Wheat,NRPS;T1PKS,158
Wheat,lanthipeptide-class-i,145
Rice,phosphonate,135
Rice,transAT-PKS-like,133
Alfalfa,T1PKS,131
Wheat,butyrolactone,128
Rice,NRPS;T1PKS,124
Rice,hglE-KS,120
Wheat,T1PKS;NRPS,119
Alfalfa,thioamitides,112
Wheat,acyl_amino_acids,108
Rice,resorcinol,108
Rice,lanthipeptide-class-ii,103
Maize,lassopeptide,102
Alfalfa,lassopeptide,101
Maize,NRPS;T1PKS,98
Rice,T1PKS;NRPS,96
Wheat,lanthipeptide-class-iii,96
Alfalfa,acyl_amino_acids,95
Alfalfa,NRPS;T1PKS,92
Rice,NAGGN,92
Maize,thioamitides,87
Rice,ladderane,83
Alfalfa,phosphonate,83
Rice,NRPS-like;T1PKS,82
Rice,lanthipeptide-class-i,79
Rice,ectoine,78
Rice,T1PKS;NRPS-like,78
Wheat,cyclic-lactone-autoinducer,78
Rice,butyrolactone,77
Maize,lanthipeptide-class-i,72
Maize,NAGGN,71
Alfalfa,resorcinol,70
Wheat,proteusin,69
Rice,arylpolyene;resorcinol,69
Maize,T1PKS;NRPS,69
Wheat,lanthipeptide-class-ii,67
Wheat,T2PKS,66
Wheat,NAGGN,66
Wheat,phosphonate,65
Wheat,hglE-KS,64
Rice,lanthipeptide-class-v,64
Rice,proteusin,63
Maize,resorcinol,62
Rice,thiopeptide,62
Wheat,other,62
Wheat,resorcinol;arylpolyene,60
Alfalfa,ectoine,59
Alfalfa,T1PKS;NRPS,59
Maize,other,58
Wheat,lanthipeptide-class-iv,57
Wheat,LAP,57
Alfalfa,NAGGN,57
Maize,lanthipeptide-class-ii,57
Rice,indole,57
Wheat,indole,56
Wheat,T1PKS;NRPS-like,55
Wheat,LAP;RiPP-like,54
Maize,butyrolactone,53
Rice,lanthipeptide-class-iii,53
Wheat,arylpolyene;resorcinol,49
Maize,T2PKS,49
Maize,melanin,48
Alfalfa,lanthipeptide-class-i,48
Rice,resorcinol;arylpolyene,47
Wheat,phenazine,44
Wheat,lanthipeptide-class-v,44
Rice,NRPS;NRPS-like,44
Maize,lanthipeptide-class-iii,44
Maize,acyl_amino_acids,43
Wheat,ranthipeptide,42
Wheat,ladderane,42
Wheat,NRPS-like;T1PKS,41
Wheat,transAT-PKS-like,39
Wheat,T1PKS;hglE-KS,38
Maize,indole,38
Wheat,microviridin,38
Wheat,hglE-KS;T1PKS,37
Alfalfa,resorcinol;arylpolyene,36
Maize,LAP,36
Alfalfa,arylpolyene;resorcinol,36
Rice,NRPS-like;NRPS,35
Wheat,PKS-like,35
Wheat,NRPS;NRPS-like,34
Alfalfa,LAP;RiPP-like,34
Wheat,T3PKS;terpene,34
Maize,NRPS;betalactone,33
Alfalfa,ranthipeptide,32
Wheat,melanin,31
Wheat,linaridin,31
Maize,hglE-KS,30
Alfalfa,lassopeptide;hserlactone,30
Maize,NRPS-like;betalactone,30
Maize,microviridin,29
Maize,phosphonate,29
Alfalfa,hserlactone;lassopeptide,29
Alfalfa,LAP,28
Maize,NRPS;NRPS-like,28
Alfalfa,butyrolactone,28
Maize,T1PKS;NRPS-like,28
Rice,microviridin,28
Maize,lanthipeptide-class-iv,28
Rice,LAP,28
Wheat,NRPS-like;NRPS,27
Rice,lanthipeptide-class-iv,27
Wheat,thiopeptide;thioamitides,27
Maize,thiopeptide;LAP,27
Maize,hserlactone;butyrolactone,26
Maize,arylpolyene;resorcinol,26
Maize,oligosaccharide,26
Wheat,T1PKS;NRPS-like;NRPS,26
Maize,NRPS-like;NRPS,26
Wheat,furan,25
Wheat,NRPS-like;betalactone,25
Maize,cyclic-lactone-autoinducer,25
Maize,T3PKS;terpene,25
Maize,NRPS-like;T1PKS,25
Maize,lanthipeptide-class-v,25
Maize,transAT-PKS-like,24
Wheat,thiopeptide,24
Rice,hserlactone;lassopeptide,24
Maize,NRPS;RiPP-like,23
Rice,NRPS;RiPP-like,23
Maize,LAP;RiPP-like,23
Rice,NRPS-like;betalactone,23
Alfalfa,T1PKS;NRPS-like,22
Alfalfa,other,21
Maize,betalactone;terpene,20
Alfalfa,T3PKS;terpene,20
Rice,lassopeptide;hserlactone,20
Maize,NRPS;terpene,20
Wheat,NRPS;T1PKS;NRPS-like,20
Wheat,oligosaccharide,19
Wheat,terpene;betalactone,19
Rice,T1PKS;NRPS-like;NRPS,19
Maize,PKS-like,19
Wheat,betalactone;terpene,19
Wheat,ladderane;arylpolyene,18
Rice,T2PKS,18
Maize,siderophore;terpene,18
Wheat,CDPS,18
