products,n_bgc
terpene,7531
NRPS,5172
RiPP-like,4277
NRPS-like,2736
arylpolyene,2398
T3PKS,2274
siderophore,2163
betalactone,1974
T1PKS,1959
redox-cofactor,1715
hserlactone,1635
RRE-containing,1337
NAPAA,1155
thioamitides,655
lassopeptide,606
ectoine,521
resorcinol,474
NRPS;T1PKS,472
acyl_amino_acids,465
lanthipeptide-class-i,344
T1PKS;NRPS,343
phosphonate,312
butyrolactone,286
NAGGN,286
ranthipeptide,246
lanthipeptide-class-ii,238
hglE-KS,220
transAT-PKS-like,201
lanthipeptide-class-iii,199
T1PKS;NRPS-like,183
arylpolyene;resorcinol,180
NRPS-like;T1PKS,165
indole,159
resorcinol;arylpolyene,159
other,157
proteusin,154
LAP,149
lanthipeptide-class-v,144
ladderane,140
T2PKS,138
LAP;RiPP-like,127
lanthipeptide-class-iv,124
cyclic-lactone-autoinducer,121
NRPS;NRPS-like,118
thiopeptide,112
microviridin,97
NRPS-like;NRPS,95
melanin,89
T3PKS;terpene,86
NRPS-like;betalactone,85
hglE-KS;T1PKS,78
phenazine,74
PKS-like,72
T1PKS;NRPS-like;NRPS,72
T1PKS;hglE-KS,67
lassopeptide;hserlactone,65
linaridin,64
NRPS;betalactone,61
hserlactone;lassopeptide,60
betalactone;terpene,59
NRPS;RiPP-like,58
thiopeptide;thioamitides,57
oligosaccharide,56
thiopeptide;LAP,54
furan,49
CDPS,43
terpene;betalactone,42
NRPS;T1PKS;NRPS-like,41
transAT-PKS,40
NRPS-like;NAGGN,38
NRPS;NRPS-like;T1PKS,37
T3PKS;betalactone,36
lassopeptide;RRE-containing,33
NRPS;terpene,32
nucleoside,30
thioamide-NRP,30
PKS-like;butyrolactone,29
RiPP-like;NRPS,28
ladderane;arylpolyene,26
hserlactone;butyrolactone,26
betalactone;T3PKS,25
betalactone;NRPS-like,23
transAT-PKS;NRPS,23
LAP;thiopeptide,23
T1PKS;NRPS;NRPS-like,22
acyl_amino_acids;RiPP-like,22
NRPS-like;NRPS;T1PKS,21
RRE-containing;lassopeptide,20
RRE-containing;RiPP-like,20
cyanobactin,19
NRPS-like;T1PKS;NRPS,18
siderophore;terpene,18
terpene;T3PKS,17
acyl_amino_acids;hserlactone,16
T3PKS;NRPS-like,15
terpene;butyrolactone,15
transAT-PKS;NRPS;PKS-like,14
betalactone;NRPS,14
thiopeptide;RiPP-like,14
NRPS;hserlactone,13
NRPS;transAT-PKS,13
transAT-PKS-like;NRPS,13
NRPS-like;butyrolactone,12
NRPS-like;resorcinol,12
T1PKS;T3PKS,11
NRPS-like;terpene,11
terpene;T1PKS;butyrolactone,11
PKS-like;T1PKS,11
amglyccycl,11
NRPS;ranthipeptide,11
NRPS-like;T1PKS;butyrolactone,10
NRPS;siderophore,10
terpene;NRPS-like,10
terpene;RiPP-like,10
terpene;siderophore,10
RiPP-like;lanthipeptide-class-iii,10
thioamitides;thiopeptide,10
arylpolyene;ladderane,10
hglE-KS;lanthipeptide-class-i,10
T1PKS;PKS-like,9
resorcinol;NRPS-like,9
NRPS;ectoine,9
NRPS;T1PKS;hserlactone,9
transAT-PKS;PKS-like,9
T1PKS;terpene,9
T3PKS;T1PKS,8
T2PKS;PKS-like;RRE-containing,8
NRPS;indole,8
T1PKS;PKS-like;NRPS,8
NRPS-like;T3PKS,8
NRPS;NAPAA,8
thiopeptide;LAP;RiPP-like,8
phosphonate;terpene,8
NRPS;siderophore;PKS-like,8
T1PKS;butyrolactone;terpene,7
T3PKS;NAGGN,7
hserlactone;terpene,7
NAGGN;RiPP-like,7
phosphonate;butyrolactone,7
RRE-containing;lanthipeptide-class-v,7
RRE-containing;terpene,7
NRPS-like;RiPP-like,7
NRPS-like;RRE-containing,7
T3PKS;guanidinotides,7
NRPS;transAT-PKS-like,7
T3PKS;siderophore,7
NRPS;ranthipeptide;RiPP-like,7
transAT-PKS;PKS-like;T3PKS,7
blactam,6
NAGGN;NRPS-like,6
lanthipeptide-class-ii;cyclic-lactone-autoinducer,6
RiPP-like;NRPS;ranthipeptide,6
RiPP-like;terpene,6
other;terpene,6
PKS-like;NRPS-like;terpene,6
NRPS-like;NRPS;terpene,6
NRPS;PKS-like,6
T1PKS;transAT-PKS-like,6
arylpolyene;NRPS,6
T2PKS;PKS-like;thiopeptide;LAP,6
T2PKS;PKS-like,6
thioamide-NRP;NRPS,6
NRPS;transAT-PKS;NRPS-like;PKS-like,6
T1PKS;butyrolactone,6
NRPS-like;T1PKS;oligosaccharide,6
NRPS;arylpolyene,6
NRPS-like;transAT-PKS,6
NRPS;RRE-containing,5
