products,n_bgc
terpene,4721
RiPP-like,3702
NRPS,2338
NRPS-like,1461
hserlactone,1279
T3PKS,1176
redox-cofactor,1072
arylpolyene,1015
RRE-containing,995
T1PKS,960
siderophore,935
betalactone,900
NAPAA,632
thioamitides,546
resorcinol,362
lassopeptide,307
lanthipeptide-class-i,270
acyl_amino_acids,257
NAGGN,216
butyrolactone,201
lanthipeptide-class-ii,187
ranthipeptide,185
ectoine,160
NRPS;T1PKS,154
hglE-KS,152
transAT-PKS-like,148
phosphonate,147
T1PKS;NRPS,146
proteusin,138
LAP;RiPP-like,119
LAP,116
cyclic-lactone-autoinducer,113
lanthipeptide-class-v,110
NRPS-like;T1PKS,98
T1PKS;NRPS-like,98
microviridin,89
lanthipeptide-class-iv,87
indole,82
other,79
lanthipeptide-class-iii,75
ladderane,69
thiopeptide;thioamitides,54
T1PKS;hglE-KS,53
lassopeptide;hserlactone,53
thiopeptide,53
resorcinol;arylpolyene,51
hserlactone;lassopeptide,50
hglE-KS;T1PKS,46
arylpolyene;resorcinol,42
phenazine,42
T1PKS;NRPS-like;NRPS,39
PKS-like,37
NRPS;NRPS-like,36
thiopeptide;LAP,34
linaridin,33
oligosaccharide,29
NRPS-like;NAGGN,28
NRPS-like;NRPS,28
NRPS-like;betalactone,27
CDPS,27
lassopeptide;RRE-containing,26
furan,24
hserlactone;butyrolactone,22
acyl_amino_acids;RiPP-like,20
T3PKS;terpene,20
cyanobactin,18
NRPS;RiPP-like,18
RRE-containing;RiPP-like,18
RRE-containing;lassopeptide,17
nucleoside,16
NRPS;T1PKS;NRPS-like,16
thioamide-NRP,15
NRPS;NRPS-like;T1PKS,14
transAT-PKS,14
LAP;thiopeptide,13
transAT-PKS;NRPS,12
NRPS;betalactone,12
RiPP-like;NRPS,11
transAT-PKS-like;NRPS,10
thiopeptide;RiPP-like,9
terpene;T3PKS,9
acyl_amino_acids;hserlactone,8
NRPS;transAT-PKS,8
terpene;NRPS-like,8
thioamitides;thiopeptide,8
NRPS-like;resorcinol,8
terpene;siderophore,8
NRPS;transAT-PKS-like,7
RRE-containing;lanthipeptide-class-v,7
NRPS-like;RRE-containing,7
terpene;RiPP-like,7
NRPS;ranthipeptide;RiPP-like,7
thiopeptide;LAP;RiPP-like,7
NAGGN;RiPP-like,7
melanin,7
NRPS-like;NRPS;terpene,6
PKS-like;NRPS-like;terpene,6
hserlactone;terpene,6
betalactone;NRPS-like,6
T1PKS;terpene,6
NRPS-like;RiPP-like,6
arylpolyene;ladderane,6
NRPS-like;T1PKS;butyrolactone,6
T1PKS;indole,5
T1PKS;PKS-like,5
lassopeptide;siderophore,5
NRPS-like;NRPS;T1PKS,5
ranthipeptide;RiPP-like,5
NAPAA;lanthipeptide-class-iv,4
NRPS-like;PKS-like;terpene,4
NAGGN;NRPS-like,4
RiPP-like;terpene,4
hglE-KS;T1PKS;lanthipeptide-class-i,4
NRPS-like;T1PKS;NRPS,4
NRPS-like;terpene,4
LAP;thiopeptide;cyclic-lactone-autoinducer,4
T1PKS;NRPS;NRPS-like,4
T2PKS,4
T2PKS;PKS-like;thiopeptide;LAP,4
other;siderophore,3
proteusin;LAP,3
PKS-like;T1PKS,3
transAT-PKS;NRPS-like;NRPS,3
lipolanthine;lanthipeptide-class-iii,3
NRPS-like;transAT-PKS,3
RRE-containing;lanthipeptide-class-iii,3
lanthipeptide-class-v;thioamitides,3
lanthipeptide-class-i;T1PKS;hglE-KS,3
lanthipeptide-class-v;RRE-containing,3
RiPP-like;NAGGN,3
lanthipeptide-class-iv;NAPAA,3
NRPS;ladderane;PKS-like;T1PKS,3
NRPS;indole,3
T1PKS;NRPS;siderophore,3
NRPS;NRPS-like;RRE-containing,3
T3PKS;RiPP-like,3
T3PKS;T1PKS,3
T1PKS;NRPS-like;butyrolactone,3
T1PKS;NRPS;indole,3
T1PKS;PKS-like;NRPS,3
thioamitides;RiPP-like,3
terpene;butyrolactone,3
LAP;thiopeptide;RiPP-like,3
LAP;proteusin,2
T1PKS;terpene;hglE-KS,2
thioamide-NRP;NRPS,2
thioamide-NRP;NRPS-like,2
terpene;lanthipeptide-class-i;T1PKS;hglE-KS,2
NRPS-like;RRE-containing;RiPP-like,2
betalactone;hserlactone,2
T1PKS;NRPS;phosphonate;NRPS-like,2
betalactone;NRPS-like;terpene,2
betalactone;RiPP-like,2
amglyccycl,2
butyrolactone;PKS-like,2
blactam,2
T1PKS;hserlactone;NRPS-like;NRPS,2
T3PKS;arylpolyene,2
arylpolyene;RiPP-like,2
T3PKS;betalactone,2
hglE-KS;terpene,2
guanidinotides,2
cyclic-lactone-autoinducer;lassopeptide,2
NRPS;T1PKS;hserlactone,2
butyrolactone;ectoine,2
NRPS-like;hserlactone,2
NRPS;ranthipeptide,2
ladderane;hserlactone;butyrolactone,2
lanthipeptide-class-ii;proteusin,2
PKS-like;NRPS;NRPS-like,2
transAT-PKS-like;butyrolactone,2
phosphonate;butyrolactone,2
lassopeptide;cyclic-lactone-autoinducer,2
sactipeptide,2
terpene;NRPS;NRPS-like,2
PpyS-KS,2
PKS-like;butyrolactone,2
resorcinol;NRPS-like,2
redox-cofactor;terpene,2
transAT-PKS;PKS-like;T3PKS;NRPS,2
transAT-PKS;NRPS-like,2
ladderane;RRE-containing,2
ladderane;betalactone,2
hserlactone;betalactone,2
RiPP-like;PKS-like,2
NRPS-like;T1PKS;betalactone,2
RaS-RiPP,2
RiPP-like;RRE-containing,2
thioamide-NRP;ladderane,1
T1PKS;oligosaccharide;hglE-KS;other,1
T1PKS;lanthipeptide-class-i,1
thioamitides;betalactone,1
thiopeptide;LAP;ectoine,1
LAP;RiPP-like;terpene,1
thiopeptide;LAP;butyrolactone,1
NAPAA;NRPS,1
LAP;thiopeptide;NRPS,1
bottromycin,1
betalactone;siderophore,1
T1PKS;T2PKS,1
T1PKS;butyrolactone,1
T1PKS;NRPS;terpene,1
T1PKS;NRPS-like;transAT-PKS-like;NRPS,1
T1PKS;NRPS;hglE-KS,1
T1PKS;NRPS;resorcinol,1
betalactone;T2PKS,1
betalactone;T3PKS,1
T1PKS;NRPS-like;prodigiosin,1
T3PKS;acyl_amino_acids,1
arylpolyene;hserlactone,1
acyl_amino_acids;thioamide-NRP,1
arylpolyene;terpene,1
arylpolyene;lipolanthine;lanthipeptide-class-iii,1
T3PKS;NRPS-like,1
T2PKS;T3PKS;terpene,1
T3PKS;transAT-PKS;NRPS,1
acyl_amino_acids;NRPS,1
T3PKS;RiPP-like;butyrolactone,1
thiopeptide;ectoine,1
thiopeptide;LAP;lanthipeptide-class-iv,1
thiopeptide;LAP;hserlactone,1
terpene;redox-cofactor,1
terpene;linaridin,1
NRPS-like;RiPP-like;RRE-containing,1
terpene;transAT-PKS;T1PKS,1
