Host,Genus (gtdb),n
Rice,Allorhizobium,12
Rice,Bradyrhizobium,11
Maize,Paracoccus,10
Alfalfa,Sphingopyxis,8
Alfalfa,Sphingomonas,5
Wheat,Variovorax,5
Alfalfa,Agrobacterium,4
Alfalfa,Shinella,4
Rice,Pseudolabrys,4
Alfalfa,Novosphingobium,3
Maize,Variovorax,3
Alfalfa,Pararhizobium,3
Alfalfa,Pseudomonas_E,3
Wheat,Aminobacter,3
Maize,Streptomyces,3
Maize,unknown,2
Alfalfa,Acidovorax,2
Wheat,Devosia_A,2
Maize,Phyllobacterium,2
Wheat,Sphingopyxis,2
Wheat,Pseudomonas,2
Maize,Bosea,2
Wheat,Inquilinus,2
Maize,Labrys,2
Alfalfa,Methylobacterium,1
Wheat,Acinetobacter,1
Wheat,Acidovorax,1
Rice,Novosphingobium,1
Maize,Sphingobium,1
Maize,Nocardia,1
Maize,Bradyrhizobium,1
Wheat,Bosea,1
Wheat,Allosphingosinicella,1
Wheat,Ferrovibrio,1
Wheat,Cellvibrio,1
Wheat,Caulobacter,1
Wheat,Bradyrhizobium,1
Wheat,Nordella,1
Wheat,Microvirga,1
Wheat,Sphingobium_A,1
Wheat,unknown,1
