genome_id,record_id,products,start,end,core_start,core_end,knowncluster_hits,func_transport,func_regulatory,func_biosynthetic,func_biosynthetic_additional,func_other,Host,Genome type,Quality level,Completeness,Contamination,Quality score,Phylum (gtdb),Class (gtdb),Order (gtdb),Family (gtdb),Genus (gtdb),Species (gtdb),Root compartment,is_novel,score_novelty,score_product,score_quality,score_function,priority_score,rank_global,rank_in_host
CRBC_G3585,CRBC_G3585_1_length_1476772_cov_145.579904,betalactone;siderophore,1161784,1186196,1171784,1176196,0,7,0,0,6,0,Wheat,Isolate,High-quality,99.37304075,0.626959248,96.2382,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,unknown,Rhizoplane and endosphere,1,3.0,2.5,3.0,3.0,11.5,70,16
CRBC_G0850,CRBC_G0850_4_length_491436_cov_92.245106,NRPS;siderophore,295284,339268,315284,319268,0,6,1,0,9,0,Maize,Isolate,High-quality,99.05660377,1.603773585,91.0377,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Nocardia,unknown,Rhizoplane and endosphere,1,3.0,2.5,3.0,3.0,11.5,70,8
CRBC_G2970,CRBC_G2970_6_length_330352_cov_167.489323,NRPS;siderophore;T1PKS;lipolanthine;lanthipeptide-class-iii,145406,207095,165406,170176,0,2,3,0,10,0,Rice,Isolate,High-quality,99.42196532,0.0,99.422,Actinobacteriota,Actinomycetia,Actinomycetales,Cellulomonadaceae,Cellulomonas,unknown,Rhizoplane and endosphere,1,3.0,2.5,3.0,3.0,11.5,70,38
CRBC_G1073,CRBC_G1073_8_length_253595_cov_50.585359,T1PKS;NRPS;siderophore,84335,141622,104335,110656,0,2,3,0,8,3,Maize,Isolate,High-quality,99.89270386,0.0,99.8927,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces capitiformicae,Rhizoplane and endosphere,1,3.0,2.5,3.0,3.0,11.5,70,8
CRBC_G1093,CRBC_G1093_11_length_253595_cov_53.913990,T1PKS;NRPS;siderophore,84335,141622,104335,110656,0,2,3,0,8,3,Maize,Isolate,High-quality,99.89270386,0.0,99.8927,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces capitiformicae,Rhizoplane and endosphere,1,3.0,2.5,3.0,3.0,11.5,70,8
CRBC_G1088,CRBC_G1088_9_length_253595_cov_48.374912,T1PKS;NRPS;siderophore,84335,141622,104335,110656,0,2,3,0,8,3,Maize,Isolate,High-quality,99.89270386,0.0,99.8927,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces capitiformicae,Rhizoplane and endosphere,1,3.0,2.5,3.0,3.0,11.5,70,8
CRBC_G0310,CRBC_G0310_3_length_588792_cov_73.238576,siderophore,169868,188791,174868,183791,0,6,0,0,2,0,Alfalfa,Isolate,High-quality,99.65659341,0.085470085,99.2292,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas_E frederiksbergensis,Rhizoplane and endosphere,1,3.0,2.5,3.0,2.8000000000000003,11.3,100,13
CRBC_G0071,CRBC_G0071_2_length_1500073_cov_73.358965,siderophore,78815,97738,83815,92738,0,6,0,0,2,0,Alfalfa,Isolate,High-quality,99.65659341,0.085470085,99.2292,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas_E frederiksbergensis,Rhizoplane and endosphere,1,3.0,2.5,3.0,2.8000000000000003,11.3,100,13
CRBC_G2517,CRBC_G2517_17_length_91393_cov_202.180461,NRPS-like;siderophore,0,29162,6414,9162,0,3,2,0,4,2,Rice,Isolate,High-quality,99.65870307,0.352673493,97.8953,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,unknown,Rhizoplane and endosphere,1,3.0,2.5,3.0,2.6000000000000005,11.100000000000001,155,57
CRBC_G3214,CRBC_G3214_45_length_168282_cov_33.977527,siderophore,44633,59518,49633,54518,0,4,1,0,3,0,Wheat,Isolate,High-quality,98.70689655,3.448275862,81.4655,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,unknown,Rhizoplane and endosphere,1,3.0,2.5,3.0,2.5,11.0,174,44
