genome_id,record_id,products,start,end,core_start,core_end
CRBC_G0207,CRBC_G0207_1_length_1286004_cov_80.053310,lanthipeptide-class-iv,1253039,1275388,1263039,1265388
CRBC_G0207,CRBC_G0207_3_length_715303_cov_83.762580,lanthipeptide-class-i,612989,646091,622989,636091
CRBC_G0207,CRBC_G0207_4_length_585219_cov_89.373060,RRE-containing,540497,560764,550497,550764
CRBC_G0207,CRBC_G0207_5_length_483163_cov_88.793532,lanthipeptide-class-i,337680,364355,347680,354355
CRBC_G0207,CRBC_G0207_6_length_474837_cov_85.253002,hglE-KS;T1PKS,0,33317,6252,13317
CRBC_G0207,CRBC_G0207_6_length_474837_cov_85.253002,T3PKS;terpene,164683,206648,184683,186648
CRBC_G0207,CRBC_G0207_6_length_474837_cov_85.253002,arylpolyene,207120,253733,227120,233733
CRBC_G0207,CRBC_G0207_7_length_400717_cov_94.725282,RiPP-like,198590,209724,203590,204724
CRBC_G0207,CRBC_G0207_9_length_391887_cov_86.057298,arylpolyene;resorcinol,78596,124782,98596,99793
