genome_id,record_id,products,start,end,core_start,core_end,knowncluster_hits,func_transport,func_regulatory,func_biosynthetic,func_biosynthetic_additional,func_other,Host,Genome type,Quality level,Completeness,Contamination,Quality score,Phylum (gtdb),Class (gtdb),Order (gtdb),Family (gtdb),Genus (gtdb),Species (gtdb),Root compartment,is_novel,score_novelty,score_product,score_quality,score_function,priority_score,rank_global,rank_in_host
CRBC_G4489,CRBC_G4489_6_length_325008_cov_112.343488,hserlactone;lassopeptide;RiPP-like,76312,116059,86312,86945,0,1,7,0,6,0,Wheat,Isolate,High-quality,100.0,0.0,100.0,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium_A,unknown,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G0016,CRBC_G0016_2_length_638255_cov_156.542994,acyl_amino_acids;RiPP-like,230731,291559,260731,261559,0,3,7,0,8,2,Alfalfa,Isolate,High-quality,99.74747475,0.401069519,97.7421,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Acidovorax,unknown,Rhizoplane and endosphere,1,3.0,2.0,3.0,3.0,11.0,174,35
CRBC_G4339,CRBC_G4339_1_length_2163879_cov_92.787438,resorcinol;RiPP-like,1188737,1229880,1208737,1209880,0,4,1,0,7,2,Wheat,Isolate,High-quality,99.49494949,0.0,99.4949,Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Agromyces,unknown,Rhizoplane and endosphere,1,3.0,2.0,3.0,3.0,11.0,174,44
CRBC_G0437,CRBC_G0437_2_length_387927_cov_104.967738,acyl_amino_acids;RiPP-like,248219,308990,278219,278990,0,6,6,0,8,2,Alfalfa,Isolate,High-quality,100.0,1.348039216,93.2598,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Acidovorax,Acidovorax soli_A,Rhizoplane and endosphere,1,3.0,2.0,3.0,3.0,11.0,174,35
CRBC_G4149,CRBC_G4149_3_length_1285945_cov_86.824477,NRPS;RiPP-like,614507,665582,634507,640951,0,3,2,0,11,2,Wheat,Isolate,High-quality,99.85119048,0.297619048,98.3631,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,unknown,Rhizoplane and endosphere,1,3.0,2.0,3.0,3.0,11.0,174,44
CRBC_G4600,CRBC_G4600_10_length_398215_cov_66.903496,RiPP-like;PKS-like,109895,153033,113972,114941,0,2,3,0,12,2,Wheat,Isolate,High-quality,100.0,0.357653791,98.2117,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces nigra,Rhizoplane and endosphere,1,3.0,2.0,3.0,3.0,11.0,174,44
CRBC_G4387,CRBC_G4387_9_length_254987_cov_85.387647,T3PKS;RiPP-like,131569,172790,151569,152790,0,8,5,0,8,0,Wheat,Isolate,High-quality,99.68253968,0.0,99.6825,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,ORNL1,unknown,Rhizoplane and endosphere,1,3.0,2.0,3.0,3.0,11.0,174,44
CRBC_G4321,CRBC_G4321_2_length_860367_cov_81.089105,RiPP-like;PKS-like,109902,153040,113979,114948,0,2,3,0,12,2,Wheat,Isolate,High-quality,100.0,0.357653791,98.2117,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces nigra,Rhizoplane and endosphere,1,3.0,2.0,3.0,3.0,11.0,174,44
CRBC_G3575,CRBC_G3575_2_length_1994266_cov_50.908666,RiPP-like;NRPS,1275023,1326006,1280023,1280941,0,3,2,0,11,2,Wheat,Isolate,High-quality,99.98582766,0.297619048,98.4977,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,unknown,Rhizoplane and endosphere,1,3.0,2.0,3.0,3.0,11.0,174,44
CRBC_G4567,CRBC_G4567_2_length_873602_cov_68.141829,NRPS;RiPP-like,25980,77635,45980,52424,0,3,2,0,13,2,Wheat,Isolate,High-quality,99.79981576,0.3125,98.2373,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,unknown,Rhizoplane and endosphere,1,3.0,2.0,3.0,3.0,11.0,174,44
