genome_id,record_id,products,start,end,core_start,core_end,knowncluster_hits,func_transport,func_regulatory,func_biosynthetic,func_biosynthetic_additional,func_other,Host,Genome type,Quality level,Completeness,Contamination,Quality score,Phylum (gtdb),Class (gtdb),Order (gtdb),Family (gtdb),Genus (gtdb),Species (gtdb),Root compartment,is_novel,score_novelty,score_product,score_quality,score_function,priority_score,rank_global,rank_in_host
CRBC_G1573,CRBC_G1573_18_length_133558_cov_160.064474,hserlactone,112269,132941,122269,122941,0,6,2,0,0,0,Maize,Isolate,High-quality,99.68820862,0.148809524,98.9442,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium diversitatis,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G4489,CRBC_G4489_6_length_325008_cov_112.343488,hserlactone;lassopeptide;RiPP-like,76312,116059,86312,86945,0,1,7,0,6,0,Wheat,Isolate,High-quality,100.0,0.0,100.0,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium_A,unknown,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G3450,CRBC_G3450_1_length_756308_cov_110.113325,hserlactone,641207,661816,651207,651816,0,5,3,0,1,0,Wheat,Isolate,High-quality,99.30327869,0.956284153,94.5219,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aminobacter,Aminobacter ciceronei,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G3326,CRBC_G3326_28_length_64967_cov_57.685884,hserlactone,11467,32076,21467,22076,0,5,3,0,1,0,Wheat,Isolate,High-quality,99.91803279,0.355191257,98.1421,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aminobacter,unknown,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G3353,CRBC_G3353_10_length_232653_cov_111.989156,hserlactone,0,20298,9602,10298,0,4,2,0,4,0,Wheat,Isolate,High-quality,99.56331878,1.892285298,90.1019,Proteobacteria,Alphaproteobacteria,DSM-16000,Inquilinaceae,Inquilinus,unknown,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G3488,CRBC_G3488_14_length_88004_cov_164.561250,NRPS;hserlactone,12698,56658,32698,36658,0,2,1,0,16,3,Wheat,Isolate,High-quality,99.5890411,1.272015656,93.229,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter pittii,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G3243,CRBC_G3243_2_length_426337_cov_72.124663,hserlactone,272908,293604,282908,283604,0,4,2,0,4,0,Wheat,Isolate,High-quality,99.56331878,1.892285298,90.1019,Proteobacteria,Alphaproteobacteria,DSM-16000,Inquilinaceae,Inquilinus,unknown,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G2874,CRBC_G2874_9_length_231800_cov_102.949146,hserlactone,16502,37135,26502,27135,0,3,4,0,4,0,Rice,Isolate,High-quality,99.28977273,1.486742424,91.8561,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium,unknown,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G2790,CRBC_G2790_3_length_669499_cov_162.763822,hserlactone,16502,37135,26502,27135,0,3,4,0,4,0,Rice,Isolate,High-quality,99.28977273,1.486742424,91.8561,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium,unknown,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G2700,CRBC_G2700_9_length_231800_cov_128.435166,hserlactone,194665,215298,204665,205298,0,3,4,0,4,0,Rice,Isolate,High-quality,99.28977273,1.486742424,91.8561,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium,unknown,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G2010,CRBC_G2010_3_length_847436_cov_48.174836,hserlactone,152224,172884,162224,162884,0,6,2,0,0,0,Rice,Isolate,High-quality,99.85119048,0.074404762,99.4792,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium sp001556045,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G2442,CRBC_G2442_17_length_29579_cov_113.310318,hserlactone,6758,27454,16758,17454,0,4,4,0,2,0,Rice,Isolate,High-quality,99.6124031,0.387596899,97.6744,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium,unknown,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G2191,CRBC_G2191_9_length_198990_cov_128.596874,lassopeptide;hserlactone,111796,142866,121796,124171,0,5,4,0,1,1,Rice,Isolate,High-quality,99.59044369,0.682593857,96.1775,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Novosphingobium subterraneum,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G2204,CRBC_G2204_1_length_4075654_cov_54.123193,hserlactone,767827,788487,777827,778487,0,6,2,0,0,0,Rice,Isolate,High-quality,100.0,0.0,100.0,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium sp001556045,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G3094,CRBC_G3094_1_length_4294877_cov_53.114499,hserlactone,1868906,1889548,1878906,1879548,0,4,2,0,6,0,Rice,Isolate,High-quality,99.60443038,0.158227848,98.8133,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys,unknown,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G2248,CRBC_G2248_1_length_2692937_cov_86.082880,hserlactone,730098,750758,740098,740758,0,6,2,0,0,0,Rice,Isolate,High-quality,100.0,0.074404762,99.628,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium sp001556045,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G2286,CRBC_G2286_3_length_669499_cov_108.039634,hserlactone,16502,37135,26502,27135,0,3,4,0,4,0,Rice,Isolate,High-quality,99.28977273,1.486742424,91.8561,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium,unknown,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G2657,CRBC_G2657_5_length_856835_cov_110.032824,hserlactone,608864,629524,618864,619524,0,6,2,0,0,0,Rice,Isolate,High-quality,100.0,0.595238095,97.0238,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium sp001556045,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G2236,CRBC_G2236_1_length_2641503_cov_71.217081,hserlactone,678163,698823,688163,688823,0,6,2,0,0,0,Rice,Isolate,High-quality,100.0,0.0,100.0,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium sp001556045,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G2848,CRBC_G2848_15_length_60556_cov_73.791018,hserlactone,15212,35908,25212,25908,0,4,5,0,2,0,Rice,Isolate,High-quality,100.0,0.387596899,98.062,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium,unknown,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G2842,CRBC_G2842_9_length_231800_cov_113.338469,hserlactone,194665,215298,204665,205298,0,3,4,0,4,0,Rice,Isolate,High-quality,99.00568182,1.486742424,91.572,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium,unknown,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G2763,CRBC_G2763_9_length_231800_cov_107.765776,hserlactone,16502,37135,26502,27135,0,3,4,0,4,0,Rice,Isolate,High-quality,99.28977273,1.486742424,91.8561,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium,unknown,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G2280,CRBC_G2280_1_length_1505754_cov_112.732474,hserlactone,794841,815501,804841,805501,0,6,2,0,0,0,Rice,Isolate,High-quality,99.70238095,0.074404762,99.3304,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium sp001556045,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G3110,CRBC_G3110_2_length_840607_cov_59.768296,hserlactone,20992,41634,30992,31634,0,4,2,0,7,0,Rice,Isolate,High-quality,99.6835443,0.0,99.6835,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys,unknown,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G2328,CRBC_G2328_1_length_1463154_cov_110.698339,hserlactone,587702,608362,597702,598362,0,6,2,0,0,0,Rice,Isolate,High-quality,99.85119048,0.0,99.8512,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium sp001556045,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G2753,CRBC_G2753_2_length_2850325_cov_71.895858,hserlactone,691733,711362,701574,702234,0,6,2,0,0,0,Rice,Isolate,High-quality,99.92559524,0.0,99.9256,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium sp001556045,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G2859,CRBC_G2859_15_length_231800_cov_40.381978,hserlactone,16502,37135,26502,27135,0,3,4,0,4,0,Rice,Isolate,High-quality,99.00568182,1.429924242,91.8561,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium,unknown,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G2704,CRBC_G2704_9_length_231800_cov_102.145018,hserlactone,16502,37135,26502,27135,0,3,4,0,4,0,Rice,Isolate,High-quality,99.28977273,1.486742424,91.8561,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium,unknown,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G2237,CRBC_G2237_1_length_2350751_cov_118.427921,hserlactone,387411,408071,397411,398071,0,6,2,0,0,0,Rice,Isolate,High-quality,100.0,0.0,100.0,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium sp001556045,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G2762,CRBC_G2762_19_length_231800_cov_25.873867,hserlactone,194665,215298,204665,205298,0,3,4,0,4,0,Rice,Isolate,High-quality,99.28977273,1.429924242,92.1402,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium,unknown,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G2207,CRBC_G2207_2_length_919749_cov_73.809310,hserlactone,408250,428892,418250,418892,0,4,2,0,7,0,Rice,Isolate,High-quality,99.6835443,0.0,99.6835,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys,unknown,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G2503,CRBC_G2503_1_length_1905168_cov_159.949313,hserlactone,1095020,1115662,1105020,1105662,0,4,2,0,6,0,Rice,Isolate,High-quality,99.20886076,0.474683544,96.8354,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys,unknown,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G2677,CRBC_G2677_15_length_38249_cov_107.722362,hserlactone,2337,23033,12337,13033,0,4,5,0,2,0,Rice,Isolate,High-quality,99.6124031,0.387596899,97.6744,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium,unknown,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
