genome_id,record_id,products,start,end,core_start,core_end,knowncluster_hits,func_transport,func_regulatory,func_biosynthetic,func_biosynthetic_additional,func_other
CRBC_G0207,CRBC_G0207_1_length_1286004_cov_80.053310,lanthipeptide-class-iv,1253039,1275388,1263039,1265388,0,1,3,0,1,1
CRBC_G0207,CRBC_G0207_3_length_715303_cov_83.762580,lanthipeptide-class-i,612989,646091,622989,636091,0,0,1,0,2,1
CRBC_G0207,CRBC_G0207_4_length_585219_cov_89.373060,RRE-containing,540497,560764,550497,550764,0,1,0,0,1,1
CRBC_G0207,CRBC_G0207_5_length_483163_cov_88.793532,lanthipeptide-class-i,337680,364355,347680,354355,0,1,1,0,3,2
CRBC_G0207,CRBC_G0207_6_length_474837_cov_85.253002,hglE-KS;T1PKS,0,33317,6252,13317,0,0,1,0,3,0
CRBC_G0207,CRBC_G0207_6_length_474837_cov_85.253002,T3PKS;terpene,164683,206648,184683,186648,0,5,3,0,5,1
CRBC_G0207,CRBC_G0207_6_length_474837_cov_85.253002,arylpolyene,207120,253733,227120,233733,0,1,0,0,11,0
CRBC_G0207,CRBC_G0207_7_length_400717_cov_94.725282,RiPP-like,198590,209724,203590,204724,0,0,1,0,0,0
CRBC_G0207,CRBC_G0207_9_length_391887_cov_86.057298,arylpolyene;resorcinol,78596,124782,98596,99793,2,3,1,0,5,1
CRBC_G0920,CRBC_G0920_2_length_450321_cov_113.510063,ectoine,112477,122894,117477,117894,4,0,0,0,1,0
CRBC_G0920,CRBC_G0920_2_length_450321_cov_113.510063,siderophore,139600,152054,144600,147054,4,1,0,0,4,0
CRBC_G0920,CRBC_G0920_3_length_398906_cov_118.263975,oligosaccharide,67527,120611,77527,110611,0,2,1,0,13,0
CRBC_G0920,CRBC_G0920_4_length_352134_cov_116.268831,betalactone,259406,288623,269406,278623,0,1,4,0,6,2
CRBC_G0920,CRBC_G0920_5_length_330324_cov_114.805321,T3PKS,278511,319633,298511,299633,7,2,3,0,6,1
CRBC_G0920,CRBC_G0920_22_length_88772_cov_113.886803,terpene,54090,74972,64090,64972,3,1,2,0,2,0
CRBC_G2814,CRBC_G2814_1_length_1241526_cov_186.640803,betalactone,37225,64486,47225,54486,1,0,0,0,6,3
CRBC_G2814,CRBC_G2814_1_length_1241526_cov_186.640803,terpene,647246,668131,657246,658131,1,0,1,0,4,0
CRBC_G2814,CRBC_G2814_2_length_752466_cov_197.456559,T3PKS,394988,436107,414988,416107,1,2,5,0,7,2
