genome_id,record_id,products,start,end,core_start,core_end,knowncluster_hits,func_transport,func_regulatory,func_biosynthetic,func_biosynthetic_additional,func_other,Host,Genome type,Quality level,Completeness,Contamination,Quality score,Phylum (gtdb),Class (gtdb),Order (gtdb),Family (gtdb),Genus (gtdb),Species (gtdb),Root compartment,is_novel,score_novelty,score_product,score_quality,score_function,priority_score,rank_global,rank_in_host
CRBC_G0649,CRBC_G0649_1_length_1176077_cov_138.689134,hserlactone;lassopeptide,444702,469468,454702,455320,0,4,4,0,2,0,Alfalfa,Isolate,High-quality,99.54493743,1.783443753,90.6277,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,unknown,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G0421,CRBC_G0421_2_length_1181221_cov_227.877393,lassopeptide;hserlactone,706619,731385,716619,719030,0,4,4,0,2,0,Alfalfa,Isolate,High-quality,99.54493743,1.840326574,90.3433,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,unknown,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G0647,CRBC_G0647_2_length_1175891_cov_141.907768,lassopeptide;hserlactone,706609,731375,716609,719020,0,4,4,0,2,0,Alfalfa,Isolate,High-quality,99.54493743,1.783443753,90.6277,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,unknown,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G0563,CRBC_G0563_2_length_1175891_cov_158.058922,hserlactone;lassopeptide,444516,469282,454516,455134,0,4,4,0,2,0,Alfalfa,Isolate,High-quality,99.54493743,1.783443753,90.6277,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,unknown,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G0005,CRBC_G0005_11_length_228638_cov_99.960221,hserlactone;phosphonate,29191,90274,39191,39830,0,8,2,0,9,2,Alfalfa,Isolate,High-quality,99.61089494,0.012970169,99.546,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Shinella,unknown,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G0602,CRBC_G0602_1_length_611105_cov_96.719249,hserlactone,532598,553153,542598,543153,0,2,4,0,5,1,Alfalfa,Isolate,High-quality,99.81060606,0.39983165,97.8114,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Acidovorax,Acidovorax kalamii,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G0586,CRBC_G0586_2_length_1176077_cov_122.562892,hserlactone;lassopeptide,444702,469468,454702,455320,0,4,4,0,2,0,Alfalfa,Isolate,High-quality,97.83845279,1.27149836,91.481,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,unknown,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G0274,CRBC_G0274_4_length_902797_cov_94.255477,hserlactone,839999,860554,849999,850554,0,2,4,0,4,1,Alfalfa,Isolate,High-quality,99.62121212,1.158645276,93.828,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Acidovorax,Acidovorax sp001411535,Rhizoplane and endosphere,1,3.0,3.0,3.0,2.8,11.8,54,8
CRBC_G0537,CRBC_G0537_3_length_484733_cov_117.867729,hserlactone,169017,189683,179017,179683,0,3,3,0,3,1,Alfalfa,Isolate,High-quality,100.0,0.025680534,99.8716,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,Agrobacterium tumefaciens,Rhizoplane and endosphere,1,3.0,3.0,3.0,2.7,11.7,58,9
CRBC_G0311,CRBC_G0311_18_length_31447_cov_129.003204,hserlactone;lassopeptide,3199,31447,13199,13817,0,4,3,0,1,0,Alfalfa,Isolate,High-quality,100.0,1.023890785,94.8805,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,unknown,Rhizoplane and endosphere,1,3.0,3.0,3.0,2.7,11.7,58,9
