genome_id,record_id,products,start,end,core_start,core_end,knowncluster_hits,func_transport,func_regulatory,func_biosynthetic,func_biosynthetic_additional,func_other,Host,Genome type,Quality level,Completeness,Contamination,Quality score,Phylum (gtdb),Class (gtdb),Order (gtdb),Family (gtdb),Genus (gtdb),Species (gtdb),Root compartment,is_novel,score_novelty,score_product,score_quality,score_function,priority_score
CRBC_G4504,CRBC_G4504_7_length_651591_cov_46.557887,T2PKS;butyrolactone;NRPS;other;T1PKS,453134,605059,488134,490650,1,6,9,0,54,3,Wheat,Isolate,High-quality,99.89270386,0.572246066,97.0315,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,unknown,Rhizoplane and endosphere,0,2.0,2.0,3.0,15.9,22.9
CRBC_G4320,CRBC_G4320_11_length_338567_cov_47.705409,transAT-PKS;NRPS;T1PKS;RRE-containing,158974,338567,178974,202549,22,14,18,0,29,5,Wheat,Isolate,High-quality,99.51456311,4.842810911,75.3005,Actinobacteriota,Actinomycetia,Mycobacteriales,Pseudonocardiaceae,Lentzea,unknown,Rhizoplane and endosphere,0,0.0,2.0,3.0,16.8,21.8
CRBC_G1689,CRBC_G1689_2_length_1136745_cov_87.319751,NRPS;T1PKS;phosphonate;NRPS-like,616888,747390,636268,646279,0,11,5,0,36,2,Maize,Isolate,High-quality,99.02912621,1.282940361,92.6144,Actinobacteriota,Actinomycetia,Mycobacteriales,Pseudonocardiaceae,Lentzea,unknown,Rhizoplane and endosphere,1,3.0,2.0,3.0,13.100000000000001,21.1
CRBC_G1690,CRBC_G1690_2_length_1136745_cov_93.066906,T1PKS;NRPS;phosphonate;NRPS-like,616888,747390,636268,646279,0,11,5,0,36,2,Maize,Isolate,High-quality,99.02912621,1.282940361,92.6144,Actinobacteriota,Actinomycetia,Mycobacteriales,Pseudonocardiaceae,Lentzea,unknown,Rhizoplane and endosphere,1,3.0,2.0,3.0,13.100000000000001,21.1
CRBC_G1386,CRBC_G1386_1_length_1524104_cov_137.604875,T2PKS;T3PKS;terpene,803519,892869,838519,841011,0,12,11,0,25,5,Maize,Isolate,High-quality,99.05660377,1.603773585,91.0377,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Nocardia,unknown,Rhizoplane and endosphere,1,3.0,1.5,3.0,13.100000000000001,20.6
CRBC_G1183,CRBC_G1183_1_length_1136746_cov_60.816002,T1PKS;NRPS;phosphonate;NRPS-like,616888,747390,636268,646279,0,11,5,0,36,2,Maize,Isolate,Medium-quality (QS>50),89.32038835,0.554785021,86.5465,Actinobacteriota,Actinomycetia,Mycobacteriales,Pseudonocardiaceae,Lentzea,unknown,Rhizoplane and endosphere,1,3.0,2.0,2.0,13.100000000000001,20.1
CRBC_G1349,CRBC_G1349_1_length_1216509_cov_40.539950,NRPS;T1PKS,889656,1020162,909656,934359,0,4,11,0,33,1,Maize,Isolate,High-quality,99.47089947,3.250188964,83.22,Actinobacteriota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,unknown,Rhizoplane and endosphere,1,3.0,2.0,3.0,11.5,19.5
CRBC_G1377,CRBC_G1377_11_length_268443_cov_56.270675,NRPS;NRPS-like;T2PKS,163239,268443,182067,214502,0,7,1,0,40,2,Maize,Isolate,High-quality,99.90249187,0.0,99.9025,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,unknown,Rhizoplane and endosphere,1,3.0,2.0,3.0,11.1,19.1
CRBC_G1368,CRBC_G1368_2_length_879056_cov_61.485965,NRPS;transAT-PKS;NRPS-like;PKS-like,628862,752542,648087,660344,0,9,7,0,25,3,Maize,Isolate,High-quality,100.0,0.0,100.0,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp002939385,Rhizoplane and endosphere,1,3.0,2.0,3.0,10.7,18.7
CRBC_G0850,CRBC_G0850_1_length_1524104_cov_93.234260,T3PKS;terpene;T2PKS,631235,720585,651235,652435,5,12,11,0,25,5,Maize,Isolate,High-quality,99.05660377,1.603773585,91.0377,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Nocardia,unknown,Rhizoplane and endosphere,0,1.0,1.5,3.0,13.100000000000001,18.6
